"","bmi","exercise","TurkMaster","agecat","race_cat","female","income_cat"
"201",26.6083831787109,1,0,4,1,0,1
"202",29.9976367950439,1,0,1,1,0,1
"203",25.8244113922119,0,0,1,1,1,2
"204",22.5963611602783,1,0,2,1,1,4
"205",25.3920001983643,1,0,4,1,1,4
"206",25.8423900604248,1,0,2,1,1,4
"207",18.1311321258545,1,0,1,1,0,1
"208",50.2976417541504,1,0,3,1,1,2
"209",32.7755088806152,0,0,1,1,0,3
"210",25.1043548583984,1,0,1,1,0,2
"211",24.47971534729,1,0,3,1,1,2
"212",21.9268760681152,0,0,4,1,1,1
"213",28.480827331543,1,0,3,1,0,1
"214",28.4595527648926,0,0,2,1,0,2
"215",19.9984226226807,0,0,2,1,0,1
"216",48.6890296936035,1,0,1,1,0,2
"217",25.529146194458,1,0,1,1,0,2
"218",23.6276264190674,1,0,2,1,0,1
"219",19.2586612701416,0,0,1,1,0,1
"220",21.7288379669189,1,0,2,2,1,1
"221",28.318078994751,1,0,4,1,1,4
"222",20.6741752624512,0,0,1,2,0,1
"223",36.516773223877,1,0,2,1,0,1
"224",39.0516738891602,1,0,3,1,1,1
"225",39.3236122131348,1,0,2,1,1,1
"226",25.1043548583984,1,0,1,1,0,1
"227",34.1134338378906,1,0,4,2,1,1
"228",29.5345363616943,1,0,1,1,1,3
"229",22.1509017944336,1,0,1,1,0,4
"230",30.4095840454102,0,0,2,1,0,5
"231",19.9688396453857,1,0,2,1,1,2
"232",20.4495735168457,0,0,2,2,0,3
"233",54.9143104553223,1,0,2,1,0,1
"234",20.5181522369385,1,0,2,1,1,1
"235",20.3606700897217,1,0,2,1,1,1
"236",30.2860736846924,0,0,3,1,1,1
"237",27.1245994567871,0,0,1,3,0,1
"238",30.7982654571533,1,0,2,4,1,3
"239",24.2761821746826,1,0,4,1,0,1
"240",23.4930801391602,1,0,2,1,0,3
"241",26.4993476867676,1,0,3,1,0,4
"242",24.4453506469727,1,0,2,1,1,1
"243",25.793083190918,1,0,4,1,0,2
"244",22.8071880340576,1,0,1,1,0,1
"245",29.0163841247559,0,0,2,1,0,4
"246",19.7899112701416,1,0,1,4,0,3
"247",25.1043548583984,1,0,3,1,1,4
"248",25.8270473480225,1,0,2,1,0,2
"249",28.0578079223633,1,0,2,1,0,3
"250",24.4075565338135,1,0,2,4,0,1
"251",20.9823341369629,1,0,2,1,1,3
"252",25.3402061462402,0,0,2,1,1,1
"253",22.1509017944336,1,0,1,1,0,1
"254",25.8423900604248,1,0,2,4,0,1
"255",21.0052394866943,1,0,2,3,1,1
"256",22.3138618469238,1,0,3,1,1,2
"257",19.9006175994873,1,0,3,1,0,1
"258",31.6478672027588,1,0,3,1,0,4
"259",22.8071880340576,1,0,1,4,0,1
"260",32.9831848144531,1,0,2,1,0,1
"261",23.1231784820557,1,0,2,1,0,1
"262",27.3686256408691,1,0,3,1,0,4
"263",21.9657230377197,1,0,1,3,1,3
"264",28.0578079223633,1,0,2,1,0,2
"265",19.3702850341797,1,0,1,1,0,1
"266",23.055908203125,1,0,1,3,0,1
"267",22.8892650604248,1,0,2,1,0,3
"268",32.4879875183105,1,0,1,1,1,1
"269",29.5299491882324,NA,0,1,1,0,1
"270",30.1785850524902,1,0,2,1,1,4
"271",25.1046466827393,1,0,2,4,0,2
"272",24.4121398925781,1,0,4,1,0,3
"273",28.6294040679932,1,0,2,1,0,3
"274",24.7996311187744,1,0,3,1,1,4
"275",22.2401161193848,1,0,2,1,1,1
"276",36.8058280944824,0,0,2,1,1,4
"277",24.034782409668,1,0,1,4,1,4
"278",23.9139289855957,1,0,1,1,1,1
"279",25.8019962310791,1,0,2,1,0,1
"280",27.4350776672363,1,0,2,1,1,1
"281",30.4095840454102,1,0,3,1,0,2
"282",21.8732738494873,1,0,4,1,1,4
"283",25.8244113922119,1,0,2,1,0,3
"284",24.2682094573975,1,0,3,1,1,1
"285",26.5810832977295,1,0,1,1,0,3
"286",25.8427181243896,0,0,3,1,0,4
"287",27.1245994567871,1,0,2,1,0,4
"288",26.9749145507812,1,0,2,1,0,4
"289",33.0786781311035,1,0,1,1,0,1
"290",33.2813987731934,0,0,1,1,0,1
"291",19.1077060699463,1,0,2,1,1,1
"292",23.879825592041,1,0,1,1,0,2
"293",22.3142204284668,1,0,2,1,1,3
"294",19.766227722168,1,0,1,1,0,3
"295",24.1290149688721,1,0,1,1,0,3
"296",23.1231784820557,1,0,2,1,0,4
