"gender","age","higher_edu","income_chng","polinterest","home_child","income","infection","self_esteem","pol_participation","pol_participation_past"
1,21,1,3,3,0,1,0,3,0,2
1,27,0,3,2,1,1,0,2,0,0
1,60,0,1,1,0,4,0,5,0,0
1,39,1,3,4,0,1,0,4,0,0
1,45,0,2,2,0,2,0,2,3,2
1,29,0,3,3,0,3,0,3,1,0
0,59,0,3,2,0,1,0,3,3,3
1,59,0,3,2,0,2,0,5,0,0
0,60,0,3,2,0,3,0,3,0,0
1,67,0,3,4,0,1,0,4,4,4
1,48,0,3,3,0,2,0,4,0,0
1,35,0,2,1,1,1,0,5,3,0
1,35,0,4,4,1,1,0,4,0,0
0,54,0,3,2,0,2,0,2,0,0
1,66,0,3,2,0,3,0,4,0,0
1,47,1,2,2,0,2,0,1,0,0
1,27,0,1,2,0,3,0,2,13,13
1,33,1,3,2,0,1,1,4,0,0
1,62,1,3,2,1,2,0,4,3,1
1,35,1,2,2,1,2,0,3,0,0
0,33,0,3,2,0,2,0,3,0,2
0,51,1,4,3,0,2,0,3,0,4
1,51,0,3,1,0,1,0,3,0,1
0,58,0,2,4,0,2,0,3,2,0
1,21,1,3,2,0,3,0,2,2,2
0,56,0,3,4,0,2,0,3,2,5
1,24,1,2,1,0,2,0,2,0,0
1,43,0,3,4,1,2,1,3,15,18
0,50,1,3,3,0,2,0,4,0,0
1,55,1,3,3,0,1,0,3,0,0
0,28,0,3,3,0,2,0,3,11,7
1,54,0,2,2,1,2,0,4,0,0
1,38,0,4,1,0,1,0,2,9,8
1,42,0,3,2,0,2,0,1,0,0
0,27,0,3,2,0,3,0,2,0,0
0,61,0,3,2,0,1,0,4,0,0
0,27,1,3,2,0,2,0,3,17,17
1,41,1,3,3,0,1,0,4,0,0
0,67,0,3,3,0,1,0,5,0,0
0,52,1,2,2,0,3,0,5,0,1
0,27,0,3,1,1,2,0,3,0,0
0,68,0,3,3,0,2,0,3,8,8
1,28,0,1,2,1,3,0,4,0,0
0,32,1,5,3,0,2,0,2,22,21
1,56,0,1,4,0,4,0,5,2,2
0,52,0,3,2,0,2,0,4,0,0
1,53,0,3,3,0,2,0,3,2,1
1,25,1,2,3,0,2,0,4,0,0
0,64,0,3,4,0,2,0,4,3,5
0,45,1,2,3,1,3,0,5,0,0
1,42,1,3,3,1,1,0,4,0,0
1,36,0,4,4,0,2,0,5,3,2
1,47,0,3,3,0,3,0,1,2,3
0,27,1,3,4,0,2,0,4,0,0
1,55,0,2,1,0,3,0,3,0,0
0,50,0,3,3,0,2,0,4,4,4
0,68,0,2,2,0,2,0,3,0,0
0,22,1,3,3,1,2,0,4,3,3
0,66,1,3,3,0,1,0,3,0,0
0,56,0,3,2,0,2,0,3,0,0
1,25,0,3,2,0,2,0,5,3,4
1,22,1,3,3,0,2,0,4,3,5
0,58,1,3,3,0,1,0,5,3,10
0,50,0,1,4,0,3,0,5,10,12
1,49,0,2,1,0,2,0,3,0,0
0,63,1,2,2,0,2,0,2,0,0
1,40,0,3,3,1,2,0,3,0,0
0,65,0,3,2,0,2,0,3,0,1
1,66,0,3,3,1,1,0,4,0,0
0,69,0,3,2,0,2,0,3,2,3
1,24,1,3,2,0,3,0,4,0,0
1,21,1,2,2,0,2,0,4,2,1
1,68,0,3,2,0,1,0,3,0,0
1,24,1,4,3,1,1,1,4,20,21
1,43,0,1,2,0,2,0,2,0,0
1,26,1,2,3,0,2,0,2,0,14
1,49,0,3,1,0,2,0,2,0,0
1,30,0,3,2,1,2,1,2,10,8
0,38,1,3,3,1,1,0,4,0,0
1,29,0,1,2,0,3,0,2,0,0
0,20,1,3,4,0,2,0,2,8,9
1,47,0,3,3,0,2,0,2,1,0
0,62,1,2,4,0,3,0,4,0,0
0,62,1,4,3,0,1,0,3,2,1
1,61,0,2,1,0,4,0,5,2,1
1,40,1,1,3,0,2,0,2,5,3
0,27,1,3,4,0,1,0,4,16,16
1,33,1,3,3,1,2,0,2,2,3
1,38,0,2,2,1,3,0,2,1,1
0,29,1,3,3,0,2,0,4,1,0
0,61,0,3,3,0,2,0,5,1,2
1,57,0,2,3,1,3,0,2,2,7
0,59,1,3,4,1,2,0,5,0,0
1,39,0,3,2,1,2,0,4,2,1
0,63,0,3,1,0,4,0,5,0,0
1,36,0,2,4,1,3,0,5,22,6
0,50,1,3,3,0,2,0,3,1,1
1,42,0,3,3,0,3,0,1,1,1
1,44,0,2,4,1,2,0,4,0,0
0,68,1,3,4,0,1,0,4,1,0
1,58,0,3,2,0,2,0,4,4,2
1,57,0,3,3,0,1,0,2,0,0
0,57,0,3,4,0,2,0,2,0,0
0,35,1,3,4,0,3,0,2,2,0
1,31,1,3,2,0,1,0,4,1,1
0,63,0,3,2,0,2,0,3,0,0
1,29,0,3,2,1,2,0,2,0,0
0,50,0,3,3,0,2,0,4,3,0
1,44,0,2,3,0,3,0,4,2,3
1,36,0,3,1,0,3,0,1,0,1
1,54,0,3,1,0,2,0,4,0,0
1,45,0,3,2,0,2,0,5,0,0
0,58,1,3,3,0,1,0,3,1,3
0,50,1,3,3,1,2,0,3,0,0
0,56,1,3,4,0,1,0,4,5,5
1,27,0,3,2,0,3,0,4,3,1
1,32,0,3,3,1,1,0,5,0,0
1,23,0,1,2,0,4,0,2,0,0
1,35,0,2,2,1,2,0,3,1,2
1,28,0,3,1,1,1,0,3,0,0
0,45,1,3,3,1,1,0,3,2,4
0,24,1,2,3,0,1,0,4,1,1
1,60,0,3,3,0,2,0,4,3,2
1,36,1,3,3,1,1,0,3,9,1
0,36,0,3,1,0,2,0,3,0,0
0,64,0,1,3,0,4,0,1,0,0
0,57,1,3,4,0,2,0,4,0,0
0,37,0,4,2,0,2,0,3,1,0
1,35,0,3,2,0,1,1,3,6,3
0,36,0,5,4,1,2,1,4,28,27
0,22,0,2,3,0,2,0,3,11,17
1,36,0,2,1,0,3,0,2,0,0
1,20,1,2,2,0,3,0,3,0,0
1,23,0,3,2,0,2,0,3,3,3
1,58,0,3,2,0,2,0,3,0,0
0,30,0,3,2,0,2,0,3,1,0
0,42,1,3,3,0,1,0,3,0,0
0,51,0,3,4,0,2,0,4,3,2
0,61,1,3,3,1,1,0,4,5,11
0,22,1,3,3,0,2,0,3,1,1
0,67,0,3,4,0,1,0,4,0,0
0,42,1,3,3,0,1,0,3,11,11
1,21,0,3,2,0,3,0,3,14,18
0,55,0,2,3,0,1,0,4,0,2
0,58,0,3,1,0,2,0,3,0,0
0,29,1,2,2,0,1,0,4,1,10
0,63,1,3,3,0,2,0,4,0,1
1,39,1,2,3,1,2,0,3,4,5
0,56,0,2,2,0,3,0,1,0,1
0,59,1,3,4,0,1,0,4,0,0
0,59,1,3,1,0,2,0,3,0,0
0,26,1,3,3,0,1,0,5,0,0
1,45,1,3,3,0,1,0,4,0,0
1,33,0,3,2,1,2,0,1,0,0
1,41,1,3,3,1,2,0,3,3,4
1,40,1,4,3,0,1,0,3,0,0
1,18,1,3,2,1,2,0,4,10,8
0,58,0,3,3,0,1,0,4,0,0
0,42,1,2,3,0,1,0,3,0,0
0,28,1,3,3,0,2,0,2,0,0
1,62,0,2,3,0,3,0,3,5,2
1,23,1,3,1,0,2,0,4,0,0
1,46,0,1,1,0,3,0,5,0,0
0,67,0,3,3,0,2,0,4,0,0
0,22,0,2,4,0,2,0,2,4,3
1,51,1,3,2,0,1,0,3,3,6
0,22,1,3,1,0,2,0,3,1,0
0,24,0,2,4,0,2,0,1,2,1
0,24,1,2,2,0,2,0,2,0,0
0,58,0,4,2,0,1,0,4,3,3
1,43,1,2,4,0,2,0,4,7,10
1,22,1,2,2,0,1,0,1,0,0
1,53,0,3,3,0,2,0,2,0,0
0,61,0,3,4,0,2,0,4,8,4
0,57,0,3,3,0,2,0,3,2,2
0,54,1,3,2,0,1,0,4,0,0
0,51,1,3,2,0,2,0,3,0,0
0,41,0,3,2,0,2,0,3,0,0
0,52,0,3,2,0,2,0,3,0,0
0,50,0,3,3,0,2,0,3,0,0
0,52,1,3,4,0,1,0,4,18,10
1,51,0,3,3,0,1,0,4,3,3
0,66,1,3,3,0,2,0,4,0,0
0,45,1,3,3,0,2,0,3,0,0
0,24,1,3,2,0,2,1,3,1,0
1,27,0,2,1,0,4,1,4,4,1
0,56,1,2,4,0,3,0,4,3,3
0,60,0,3,2,0,3,0,4,0,0
0,20,1,3,1,0,2,0,3,0,0
0,62,0,3,3,0,2,0,3,0,0
0,37,1,3,4,0,1,0,3,16,16
1,22,0,1,1,0,3,0,2,0,1
1,35,1,2,2,1,2,0,3,0,0
0,39,0,2,3,0,3,0,1,0,0
1,44,1,3,2,0,2,0,3,0,4
1,37,0,3,3,1,2,1,3,18,10
1,25,0,2,1,1,3,0,4,0,0
1,32,0,3,3,1,4,0,3,18,20
0,61,0,3,3,1,2,0,5,1,3
1,49,1,2,4,0,1,0,5,3,7
1,29,1,2,3,1,2,0,3,0,0
0,64,0,3,4,0,3,0,4,11,11
1,39,0,3,1,0,2,0,3,0,1
0,55,0,3,3,0,2,0,3,0,0
0,18,0,2,4,0,1,0,1,17,17
0,32,0,3,2,0,2,1,3,0,0
0,18,0,3,2,0,2,0,3,0,0
1,46,0,2,2,0,1,0,4,0,1
0,30,0,2,3,0,3,0,4,0,1
0,60,0,1,3,0,2,0,5,21,20
1,19,1,3,3,0,1,0,3,2,4
1,49,0,4,3,1,2,0,3,12,0
1,20,1,3,2,0,1,0,2,5,5
0,42,1,3,4,1,1,0,4,2,2
0,58,1,2,4,0,3,0,2,0,0
0,62,0,2,3,0,3,0,3,0,0
1,26,1,2,2,0,2,0,2,0,0
0,35,0,3,3,1,1,0,4,16,13
1,39,0,3,2,1,2,0,2,0,0
0,62,0,3,2,0,1,0,4,0,0
1,48,0,2,1,0,2,0,5,0,0
1,33,0,2,2,1,2,0,4,0,0
1,40,0,3,2,0,1,0,2,0,0
1,25,1,3,3,0,1,0,4,5,8
0,21,1,2,3,1,2,1,4,20,22
0,55,0,2,2,0,2,0,3,2,0
0,54,1,3,4,0,2,0,3,9,11
0,26,1,5,4,0,2,0,2,8,8
1,40,0,2,2,0,2,0,1,0,0
0,63,1,3,3,0,2,0,3,0,1
0,38,0,1,2,0,3,0,1,0,0
1,30,1,2,3,0,3,0,3,0,2
0,54,0,3,3,0,2,0,4,7,4
0,57,0,2,2,0,1,0,4,2,0
1,39,0,2,3,0,3,0,5,1,0
0,35,1,5,4,0,1,0,3,19,19
0,54,0,2,4,0,2,0,4,12,7
0,29,1,2,2,1,1,1,3,11,9
0,25,1,2,4,0,1,0,4,4,6
1,41,1,3,3,1,2,0,4,12,5
0,43,0,2,2,0,2,0,2,4,0
1,22,1,3,2,0,2,0,3,0,0
1,43,0,3,1,0,3,0,3,16,17
1,38,0,3,3,0,2,0,2,0,2
0,35,1,3,3,1,2,0,3,3,0
